id,url,createdTime,likesCount,commentsCount,sharesCount,authorId,authorName,type
163576114113950_173016803169881,https://www.facebook.com/163576114113950/posts/173016803169881,2016-12-04T06:03:35+0000,556,15,0,1114862868560729,Keitty Calderon-Chalco,photo
163576114113950_171155676689327,https://www.facebook.com/163576114113950/posts/171155676689327,2016-12-02T02:49:58+0000,211,7,1,1681466815455378,River Sween,photo
163576114113950_173077449830483,https://www.facebook.com/163576114113950/posts/173077449830483,2016-12-04T08:18:20+0000,30,0,0,10201268774317594,Nitin Joseph Vincent,photo
163576114113950_172992359838992,https://www.facebook.com/163576114113950/posts/172992359838992,2016-12-04T05:12:31+0000,3,1,0,1820508698209498,John Lim,photo
163576114113950_172268106578084,https://www.facebook.com/163576114113950/posts/172268106578084,2016-12-03T08:02:18+0000,45,9,0,10208913123290342,Eyal Li,photo
163576114113950_173016849836543,https://www.facebook.com/163576114113950/posts/173016849836543,2016-12-04T06:03:44+0000,86,8,0,1446461642030715,Aaron Abosch,photo
163576114113950_173024436502451,https://www.facebook.com/163576114113950/posts/173024436502451,2016-12-04T06:18:24+0000,77,6,0,1128495363856746,Eshan Kumar,photo
163576114113950_171338010004427,https://www.facebook.com/163576114113950/posts/171338010004427,2016-12-02T07:15:09+0000,84,9,0,1486496484701005,Jericho Palado,photo
163576114113950_173032176501677,https://www.facebook.com/163576114113950/posts/173032176501677,2016-12-04T06:32:36+0000,116,4,0,1006940406028953,Austin Gwiazdowski,photo
163576114113950_173043389833889,https://www.facebook.com/163576114113950/posts/173043389833889,2016-12-04T06:58:00+0000,38,0,0,978320952249384,Steve Hernandez,photo
163576114113950_171909226613972,https://www.facebook.com/163576114113950/posts/171909226613972,2016-12-02T22:30:38+0000,129,17,0,838661262947302,Frank Valdez,photo
163576114113950_171856879952540,https://www.facebook.com/163576114113950/posts/171856879952540,2016-12-02T21:10:20+0000,23,72,0,10154502295327682,Sew Zhen Tao,status
163576114113950_173034046501490,https://www.facebook.com/163576114113950/posts/173034046501490,2016-12-04T06:35:23+0000,117,13,0,1658106441125962,Maya Khuzam,video
163576114113950_173036573167904,https://www.facebook.com/163576114113950/posts/173036573167904,2016-12-04T06:41:28+0000,32,1,0,1057737464246858,Edgar Solórzano,photo
163576114113950_172921669846061,https://www.facebook.com/163576114113950/posts/172921669846061,2016-12-04T03:26:57+0000,99,6,0,10207679168919831,Nazee Banayan,photo
163576114113950_172823899855838,https://www.facebook.com/163576114113950/posts/172823899855838,2016-12-03T23:56:28+0000,443,12,0,1209888232364256,Hanad Musa,photo
163576114113950_172714663200095,https://www.facebook.com/163576114113950/posts/172714663200095,2016-12-03T20:07:14+0000,917,57,8,10208385800313736,Jake Kauffman,photo
163576114113950_172887989849429,https://www.facebook.com/163576114113950/posts/172887989849429,2016-12-04T02:12:11+0000,492,16,3,10204382509842267,Courtney Chang,photo
163576114113950_172819909856237,https://www.facebook.com/163576114113950/posts/172819909856237,2016-12-03T23:49:12+0000,48,1,0,521999661291510,Josh Weinstein,photo
163576114113950_172249419913286,https://www.facebook.com/163576114113950/posts/172249419913286,2016-12-03T07:47:37+0000,169,8,1,10153976240553216,Tatyana Diaz,photo
163576114113950_170982403373321,https://www.facebook.com/163576114113950/posts/170982403373321,2016-12-01T22:24:44+0000,532,17,1,1156077944450885,Kevin Chuang,photo
163576114113950_172791699859058,https://www.facebook.com/163576114113950/posts/172791699859058,2016-12-03T23:09:45+0000,319,11,0,10208385800313736,Jake Kauffman,photo
163576114113950_171061393365422,https://www.facebook.com/163576114113950/posts/171061393365422,2016-12-02T00:19:37+0000,173,19,0,1216309098438236,Joshua Valerio,video
163576114113950_172801019858126,https://www.facebook.com/163576114113950/posts/172801019858126,2016-12-03T23:26:32+0000,254,12,0,10205544765674856,Jeremy Neptune,photo
163576114113950_168400986964796,https://www.facebook.com/163576114113950/posts/168400986964796,2016-11-29T00:47:25+0000,362,22,2,423531377837940,Jonathan Chu,photo
163576114113950_172209473250614,https://www.facebook.com/163576114113950/posts/172209473250614,2016-12-03T06:47:14+0000,280,15,0,10204616299997899,Dylan Flanders,photo
163576114113950_170573836747511,https://www.facebook.com/163576114113950/posts/170573836747511,2016-12-01T12:35:49+0000,374,75,1,981525705223271,Ethan Dodd,status
163576114113950_173023869835841,https://www.facebook.com/163576114113950/posts/173023869835841,2016-12-04T06:17:40+0000,32,4,0,1806185846336613,Jenna Kovsky,photo
163576114113950_172826116522283,https://www.facebook.com/163576114113950/posts/172826116522283,2016-12-03T23:58:53+0000,27,3,0,1218129751608965,Nick Peters,photo
163576114113950_173003879837840,https://www.facebook.com/163576114113950/posts/173003879837840,2016-12-04T05:38:32+0000,1,0,0,876642499100418,Westley Martinez,video
163576114113950_172339609904267,https://www.facebook.com/163576114113950/posts/172339609904267,2016-12-03T09:45:36+0000,47,5,0,1267856323276362,Brandon James,photo
163576114113950_173005779837650,https://www.facebook.com/163576114113950/posts/173005779837650,2016-12-04T05:42:41+0000,46,0,0,1258710120818576,Neema Sheshebor,photo
163576114113950_171967013274860,https://www.facebook.com/163576114113950/posts/171967013274860,2016-12-03T00:17:14+0000,46,16,0,1193811087303328,Timothy Kao,photo
163576114113950_172899663181595,https://www.facebook.com/163576114113950/posts/172899663181595,2016-12-04T02:39:02+0000,32,2,0,10207679168919831,Nazee Banayan,photo
163576114113950_172273586577536,https://www.facebook.com/163576114113950/posts/172273586577536,2016-12-03T08:08:15+0000,91,13,0,10206481448168597,Alexander Wu,photo
163576114113950_171803143291247,https://www.facebook.com/163576114113950/posts/171803143291247,2016-12-02T19:23:58+0000,97,6,0,10209006588669786,Justin Hou,photo
163576114113950_172854556519439,https://www.facebook.com/163576114113950/posts/172854556519439,2016-12-04T00:49:30+0000,66,3,0,1057737464246858,Edgar Solórzano,photo
163576114113950_172964019841826,https://www.facebook.com/163576114113950/posts/172964019841826,2016-12-04T04:23:58+0000,41,1,0,1047076522064386,Jeremy Wilson,photo
163576114113950_172209906583904,https://www.facebook.com/163576114113950/posts/172209906583904,2016-12-03T06:48:40+0000,52,4,0,10201504189603149,Crystal Rivera,link
163576114113950_172893616515533,https://www.facebook.com/163576114113950/posts/172893616515533,2016-12-04T02:24:58+0000,154,9,0,1681466815455378,River Sween,photo
163576114113950_172876649850563,https://www.facebook.com/163576114113950/posts/172876649850563,2016-12-04T01:48:07+0000,13,5,0,897536293628784,Summer Singh,status
163576114113950_172615619876666,https://www.facebook.com/163576114113950/posts/172615619876666,2016-12-03T17:05:24+0000,29,3,0,876642499100418,Westley Martinez,photo
163576114113950_172202086584686,https://www.facebook.com/163576114113950/posts/172202086584686,2016-12-03T06:37:36+0000,131,12,0,10205589559165104,Carlos Alejandro,photo
163576114113950_172928009845427,https://www.facebook.com/163576114113950/posts/172928009845427,2016-12-04T03:44:25+0000,66,1,0,1006940406028953,Austin Gwiazdowski,photo
163576114113950_165504633921098,https://www.facebook.com/163576114113950/posts/165504633921098,2016-11-25T08:10:54+0000,104,6,1,1137140909641758,Eric Qu,photo
163576114113950_172247976580097,https://www.facebook.com/163576114113950/posts/172247976580097,2016-12-03T07:46:42+0000,112,6,0,10208327837823120,Bibek Ghimire,photo
163576114113950_169891653482396,https://www.facebook.com/163576114113950/posts/169891653482396,2016-11-30T18:43:49+0000,519,27,3,423531377837940,Jonathan Chu,photo
163576114113950_172860923185469,https://www.facebook.com/163576114113950/posts/172860923185469,2016-12-04T01:06:03+0000,315,15,0,1190872840974236,Tanner Walters,photo
163576114113950_172902966514598,https://www.facebook.com/163576114113950/posts/172902966514598,2016-12-04T02:46:10+0000,735,14,1,1231822710172876,Ali Rehman,photo
163576114113950_171337703337791,https://www.facebook.com/163576114113950/posts/171337703337791,2016-12-02T07:14:19+0000,386,35,1,1136737436336977,James Cev,photo
163576114113950_168597036945191,https://www.facebook.com/163576114113950/posts/168597036945191,2016-11-29T07:07:03+0000,2133,62,13,10203547383964593,Sania Syed,photo
